"","State","Year","crudemort_rate","Mort_rate","Unemp_Rate","Age_20to34","Age_35to44","Age_45to54","Age_55to64","Male_pct","Female_pct","Race_White","Race_Black","Race_AmInd","Race_Asian","Race_PacIsl","Race_Multi","HH_Income","Poverty_rate","Uninsured_pct","Hisp"
"318","Nevada","2009",716.07,0.716066995,11.3,21.0241873753336,14.380155438388,13.945836817629,11.4654528591091,50.5480944549879,49.4519055450121,78.3716031609158,8.49491463553181,1.57703102621742,7.37313594061084,0.699342376050643,3.48397286067349,51434,13,22.9,26.1994327038942
"319","Nevada","2010",726.63,0.726629492,13.5,20.9383718806408,14.131075388166,13.9193283251536,11.7514998288128,50.5024694580651,49.4975305419349,77.9637748729776,8.56353632014884,1.59337169207607,7.56044607752153,0.716545849691013,3.6023251875849,51200,16.6,24,26.6233386895567
"320","New Hampshire","2000",784.68,0.784682785,2.7,18.45240111559,17.8542796814536,14.9858615577934,8.91471930393376,49.1797606546429,50.8202393453571,96.7525941984802,0.804915306456582,0.249055958550894,1.33561096943096,0.032825704381546,0.824997862699838,50926,4.5,9,1.66927175327975
"321","New Hampshire","2001",781.75,0.78174967,3.4,18.2187099019766,17.6485065514844,15.433721725791,9.10684602438677,49.2311135572039,50.7688864427961,96.4699004473854,0.878602201324235,0.256547701066573,1.47421341168618,0.0371161840102524,0.883620054527338,51331,6.5,11.1,1.83581743616375
"322","New Hampshire","2002",776.38,0.776383689,4.5,18.0677635689853,17.2844457717307,15.5231823772801,9.76085995544836,49.2801529285968,50.7198470714032,96.2324943325488,0.928540078749402,0.258374314173395,1.59240210891435,0.0385315765876152,0.949657589026459,55321,5.8,10,1.99261044733663
"323","New Hampshire","2003",758.53,0.758532317,4.3,17.9679491186398,16.8812507813477,15.7254813101638,10.3159769971246,49.3285879484936,50.6714120515064,96.0225496937117,0.976137642205276,0.263861107638455,1.69271158894862,0.0387548443555444,1.00598512314039,55567,5.8,10.4,2.11159207400925
"324","New Hampshire","2004",783.72,0.783724937,3.8,17.7546137145276,16.452487789905,15.9897404972092,10.836115372124,49.3190948755969,50.6809051244031,95.8286083243355,1.0250201337704,0.263541171719552,1.78308856301076,0.038213469899335,1.06152833726449,56815,5.5,9.8,2.23079850649668
"325","New Hampshire","2005",785.06,0.785064521,3.6,17.626523690558,16.049771581188,16.2757259960015,11.3142013966971,49.3310701952727,50.6689298047273,95.6174547090009,1.06954836841505,0.265153732175477,1.88757420145831,0.0390452925393456,1.12122369641091,56984,5.6,10.4,2.34341066406262
"326","New Hampshire","2006",768.88,0.768884483,3.4,17.4182143078244,15.6096543153451,16.5887209384976,11.7744799138483,49.344346367938,50.655653632062,95.4172650488502,1.12634698090553,0.271402465168998,1.95499962167215,0.0391320929784644,1.19085379042471,61970,5.4,12.2,2.47158910690934
"327","New Hampshire","2007",784.97,0.784966553,3.5,17.2814542794886,15.1567190333247,16.7924787054109,12.2432840142015,49.3358678592652,50.6641321407348,95.2562207627958,1.15204108065278,0.272905968580005,2.03209045057674,0.0383226415956847,1.24841909579899,67576,5.8,11.2,2.57074070123577
"328","New Hampshire","2008",780.3,0.780298897,3.9,17.2630871809992,14.5995990595073,16.9702851115505,12.6591869024079,49.3447100324795,50.6552899675205,95.0568657639679,1.19605807709669,0.279275267382321,2.1082812906089,0.0387565677183629,1.32076303322578,66176,7,11.3,2.67511509180747
"329","New Hampshire","2009",767.42,0.767417723,6.2,17.3005587712806,14.0438203117995,17.1257242979647,13.1289976004899,49.3295352487877,50.6704647512123,94.9056380128592,1.22391729516405,0.274978687062249,2.17065242663563,0.0431577491714168,1.38165582910747,64131,7.8,11.2,2.76042434400981
"330","New Hampshire","2010",774.88,0.774875235,5.8,17.4707748342711,13.5436325098215,17.1111797982774,13.6147920766063,49.3359832740843,50.6640167259157,94.7968458920729,1.24176102080943,0.265120648501358,2.20419985737709,0.0397946776896911,1.45227790354955,66633,6.5,11.7,2.81600505483539
"331","New Jersey","2000",888.96,0.888957555,3.7,19.8013171271725,17.0230639000377,13.8545191392188,8.99450941988734,48.5196642097895,51.4803357902105,78.214475541007,14.4093655734257,0.290714052974271,5.92911245802652,0.0682037539108922,1.08812862065558,50405,7.3,11.7,13.3905082436988
"332","New Jersey","2001",879.7,0.879699685,4.3,19.4855069741899,16.9377925978765,14.1778599453576,9.15117281712667,48.5446686913929,51.4553313086072,77.7863407166014,14.4311018288593,0.314353399537083,6.24071037250825,0.0703783297386653,1.15711535275533,51771,8.1,13.3,13.8205283119998
"333","New Jersey","2002",865.33,0.865334844,5.8,19.2658573495936,16.7232515141811,14.2291569986027,9.62306038028245,48.567933912359,51.432066087641,77.379343438046,14.4410447156511,0.339766315512059,6.54176726422464,0.073240517580355,1.2248377489859,54568,7.9,13.5,14.2511151231263
"334","New Jersey","2003",856.71,0.856709174,5.8,19.0867953852174,16.4537246369836,14.4046168287449,9.95842305707837,48.5901949472888,51.4098050527112,76.9935180334555,14.4613633916889,0.363336116600526,6.81390080361318,0.0748947671554009,1.29298688748648,56045,8.6,14.3,14.6897331388534
"335","New Jersey","2004",826.57,0.82657358,4.8,18.8933519608003,16.1737811569112,14.652835274428,10.2525189178697,48.6139017374479,51.3860982625521,76.6141092755034,14.4809562408558,0.388890645395869,7.07614434596038,0.0751167314701929,1.36478276081436,55275,8,14.1,15.1107971789185
"336","New Jersey","2005",831.75,0.831752384,4.5,18.7070372610921,15.9136862870832,14.9063670325408,10.5658084501872,48.6412580527866,51.3587419472134,76.2317478069167,14.4909127096314,0.416367409333408,7.34595365173312,0.078733477469997,1.43628494491546,63368,6.8,15.2,15.526306482197
"337","New Jersey","2006",812.27,0.81226746,4.7,18.5520844168896,15.6423367802016,15.1541635288031,10.8792417728711,48.6462266726809,51.3537733273191,75.8645408124683,14.5074644303951,0.441369392700884,7.59308905351953,0.0802384849403909,1.51329782597577,68059,8.8,16.6,15.9442528405867
"338","New Jersey","2007",802.75,0.802753205,4.3,18.5211949685897,15.2679022595944,15.3669471305508,11.1287600607752,48.6609006687689,51.3390993312311,75.4795782612929,14.5195862816804,0.470552444518451,7.85662635538498,0.0813447055359687,1.59231195158728,60508,8.7,16.6,16.3621320171908
"339","New Jersey","2008",803.87,0.803871846,5.3,18.6042619235939,14.8407489763049,15.5220529233425,11.2970133473538,48.6872366144765,51.3127633855235,75.1095672298185,14.5196066163936,0.499788201017324,8.11567783136209,0.0830665278397996,1.67229359356866,65306,9.2,15,16.8121899785216
"340","New Jersey","2009",779.81,0.779809315,9.1,18.6914846060842,14.398233268255,15.6532811792953,11.6158089415211,48.6785032028637,51.3214967971363,74.7341873237271,14.5513923542893,0.537324560892558,8.33747353979772,0.0867216211974916,1.7529006000958,64777,9.3,16.1,17.3131442018493
"341","New Jersey","2010",790.44,0.790444016,9.5,18.8136189412318,14.0325694440026,15.6625527289055,11.9700409833458,48.6863787864603,51.3136212135397,74.4115972234215,14.5925002022354,0.569553982310537,8.51746223196992,0.0884723092011201,1.82041405086152,62968,11.1,17.6,17.7698683788355
"342","New Mexico","2000",738.02,0.738024217,4.9,19.4717889923369,15.4790457301873,13.5831570763078,8.75530692882291,49.1751610473072,50.8248389526928,85.3837351554247,2.10053349322756,9.81905376882546,1.17114831726704,0.116626144023404,1.40890312123189,35093,17.5,25.8,42.279063740251
"343","New Mexico","2001",771.36,0.77136415,4.9,19.4596247181565,15.1144571406734,13.9635527845869,8.97935786077339,49.2060883664812,50.7939116335188,85.1096528342678,2.14228390175193,9.95987312263538,1.18306045236912,0.122673596514694,1.48245609246106,33124,18,22.6,42.7770528855865
"344","New Mexico","2002",773.13,0.77313267,5.5,19.6405019325622,14.6799805315449,14.0523761810027,9.47098300067536,49.2345479917362,50.7654520082639,84.8968554564226,2.18184679748764,10.0009216793537,1.23041498747648,0.127202530683568,1.56275854857601,35457,17.9,22.7,43.1663943849785
"345","New Mexico","2003",788.52,0.788517523,5.9,19.8296844758183,14.2541385852169,14.1849535624162,9.8779062769297,49.2801348974794,50.7198651025206,84.7074469501602,2.20236326238007,10.0448770594395,1.27393114732096,0.129741890332951,1.6416396903664,35105,18.1,24.1,43.54129317939
"346","New Mexico","2004",751.02,0.751021111,5.5,19.9812165932699,13.9104363465223,14.260051433758,10.2942628668437,49.3258773994016,50.6741226005984,84.5406679665176,2.23709533734494,10.053849968064,1.31735973375466,0.132313762732376,1.71871323158638,39562,16.5,21.9,43.8448625071436
"347","New Mexico","2005",775.41,0.775407629,5.1,19.9533813527481,13.5954321178052,14.3453775189233,10.7358480215539,49.3591488577707,50.6408511422293,84.4123555976016,2.25511495781654,10.0338771830496,1.35793370919445,0.132745148979907,1.80797340335791,38947,17.9,23,44.1979760634361
"348","New Mexico","2006",779.56,0.779558206,4.2,19.8822508316188,13.2474439858175,14.458062816205,11.1912674803034,49.3425280701602,50.6574719298398,84.2992614684907,2.28342873102133,9.99288021172833,1.39643664025499,0.140510066320547,1.88748288218407,40028,16.9,25.8,44.5763471154155
"349","New Mexico","2007",777.96,0.777962584,3.8,19.8593516810966,12.918339555895,14.4679332887788,11.6031596878502,49.3524348389755,50.6475651610245,84.1462863115368,2.31122523328325,10.0075876727954,1.42447250599225,0.140598069414644,1.96983020697764,44356,14,24.5,45.0505258608994
"350","New Mexico","2008",796.01,0.796006489,4.5,19.7728409847105,12.5401982033778,14.4647384791676,11.9328857858755,49.3411622639708,50.6588377360292,83.9325555463822,2.31446160518277,10.090109625586,1.45534157406864,0.145922089341719,2.06160955943863,42102,19.3,25.5,45.58523511162
