State,Year,Deaths,Population,crudemort_rate,Mort_rate
Minnesota,2002,38510,5018935,767.29,0.767294257
Mississippi,2002,28853,2858681,1009.31,1.009311637
Missouri,2002,55940,5674825,985.76,0.98575727
Montana,2002,8506,911667,933.02,0.933016112
Nebraska,2002,15738,1728292,910.61,0.910610013
Nevada,2002,16927,2173791,778.69,0.778685715
New Hampshire,2002,9853,1269089,776.38,0.776383689
New Jersey,2002,74009,8552643,865.33,0.865334844
New Mexico,2002,14344,1855309,773.13,0.77313267
New York,2002,158118,19137800,826.21,0.826207819
North Carolina,2002,72027,8326201,865.06,0.865064391
North Dakota,2002,5892,638168,923.27,0.923267854
Ohio,2002,109766,11407889,962.19,0.962193794
Oklahoma,2002,35502,3489080,1017.52,1.017517512
Oregon,2002,31119,3513424,885.72,0.885717181
Pennsylvania,2002,130223,12331031,1056.06,1.056059303
Rhode Island,2002,10246,1065995,961.17,0.961167735
South Carolina,2002,37736,4107795,918.64,0.918643701
South Dakota,2002,6898,760020,907.61,0.907607695
Tennessee,2002,56606,5795918,976.65,0.976652879
Texas,2002,155524,21690325,717.02,0.717020146
Utah,2002,13116,2324815,564.17,0.564173924
Vermont,2002,5075,615442,824.61,0.824610605
Virginia,2002,57196,7286873,784.92,0.784918304
Washington,2002,45338,6052349,749.1,0.749097582
West Virginia,2002,21016,1805414,1164.05,1.164054339
Wisconsin,2002,46981,5445162,862.8,0.862802613
Wyoming,2002,4174,500017,834.77,0.834771618
Alabama,2003,46716,4503491,1037.33,1.037328597
Alaska,2003,3180,648414,490.43,0.490427412
Arizona,2003,43392,5510364,787.46,0.787461591
Arkansas,2003,27918,2724816,1024.58,1.024582944
California,2003,239371,35253159,679.01,0.679005816
Colorado,2003,29506,4528732,651.53,0.651528949
Connecticut,2003,29627,3484336,850.29,0.850291132
Delaware,2003,7070,818003,864.3,0.864300009
District of Columbia,2003,5573,568502,980.3,0.980295584
Florida,2003,168657,17004085,991.86,0.991861661
Georgia,2003,66478,8622793,770.96,0.770956696
Hawaii,2003,8978,1251154,717.58,0.717577532
Idaho,2003,10380,1363380,761.34,0.761343133
Illinois,2003,105325,12556006,838.84,0.838841587
Indiana,2003,55968,6196638,903.2,0.903199445
Iowa,2003,28062,2941999,953.84,0.953841249
Kansas,2003,24593,2723004,903.16,0.903156955
Kentucky,2003,40241,4117170,977.39,0.977394667
Louisiana,2003,42719,4521042,944.89,0.944892792
Maine,2003,12540,1306513,959.81,0.959806753
Maryland,2003,44499,5496269,809.62,0.809621945
Massachusetts,2003,56291,6422565,876.46,0.87645668
Michigan,2003,86728,10041152,863.73,0.863725596
Minnesota,2003,37620,5053572,744.42,0.744423944
Mississippi,2003,28489,2868312,993.23,0.993232256
Missouri,2003,55582,5709403,973.52,0.973516846
Montana,2003,8467,919630,920.7,0.920696367
