State,Year,Deaths,Population,crudemort_rate,Mort_rate
Ohio,2010,108711,11536504,942.32,0.942321868
Oklahoma,2010,36529,3751351,973.76,0.973755855
Oregon,2010,31890,3831074,832.4,0.832403655
Pennsylvania,2010,124596,12702379,980.89,0.980887124
Rhode Island,2010,9579,1052567,910.06,0.910060832
South Carolina,2010,41614,4625364,899.69,0.899691354
South Dakota,2010,7100,814180,872.04,0.872043037
Tennessee,2010,59578,6346105,938.81,0.938812074
Texas,2010,166527,25145561,662.25,0.662252077
Utah,2010,14776,2763885,534.61,0.534609797
Vermont,2010,5380,625741,859.78,0.859780644
Virginia,2010,59032,8001024,737.81,0.737805561
Washington,2010,48146,6724540,715.97,0.715974624
West Virginia,2010,21275,1852994,1148.14,1.148141872
Wisconsin,2010,47308,5686986,831.86,0.83186419
Wyoming,2010,4438,563626,787.4,0.787401575
