State,Year,.Under 5 years,.5 to 9 years,.10 to 14 years,.15 to 19 years,.20 to 24 years,.25 to 29 years,.30 to 34 years,.35 to 39 years,.40 to 44 years,.45 to 49 years,.50 to 54 years,.55 to 59 years,.60 to 64 years,.65 to 69 years,.70 to 74 years,.75 to 79 years,.80 to 84 years,.85 years and over,MALE,FEMALE
Ohio,2003,"742,000","771,291","841,279","815,127","781,889","695,460","757,696","803,097","899,862","888,732","784,547","633,720","501,032","406,219","364,851","327,460","232,486","188,040","5,566,253","5,868,535"
Ohio,2004,"739,780","763,304","835,264","821,803","775,499","709,581","734,942","784,405","886,950","898,940","798,392","668,730","512,369","414,279","356,252","323,074","237,509","191,178","5,577,840","5,874,411"
Ohio,2005,"733,931","757,828","821,312","829,171","767,177","725,714","709,501","775,143","868,006","902,355","816,267","708,188","521,498","416,177","353,484","319,752","241,290","196,526","5,586,617","5,876,703"
Ohio,2006,"726,541","756,475","809,421","835,744","759,867","739,109","681,356","776,658","840,713","905,412","832,404","747,833","528,515","424,089","352,851","316,143","243,614","204,468","5,598,146","5,883,067"
Ohio,2007,"728,009","755,051","795,103","840,649","752,873","745,854","668,575","771,123","814,653","896,004","851,768","745,347","574,346","439,188","353,443","311,070","245,152","212,260","5,609,503","5,890,965"
Ohio,2008,"726,833","752,633","785,304","840,788","752,870","741,612","670,378","757,298","790,142","881,559","870,340","757,215","599,290","459,440","360,321","303,946","246,770","218,652","5,618,797","5,896,594"
Ohio,2009,"723,368","751,617","778,668","833,812","758,614","728,925","681,723","736,000","770,297","868,474","882,565","772,279","634,831","470,598","369,083","297,885","244,639","225,518","5,626,878","5,902,018"
Ohio,2010,"719,136","746,836","773,218","818,512","764,648","719,988","695,618","712,425","759,815","850,647","887,893","790,321","670,924","481,396","372,858","296,774","243,584","231,589","5,632,832","5,903,350"
Oklahoma,2000,"235,972","243,036","252,853","270,083","248,181","227,038","222,361","258,091","264,936","242,120","215,138","174,245","143,741","128,538","113,679","94,274","62,673","57,406","1,697,872","1,756,493"
Oklahoma,2001,"237,028","238,386","252,253","269,131","258,034","220,737","225,157","247,904","266,637","246,890","224,488","176,712","146,482","129,349","113,241","94,376","64,097","56,198","1,707,048","1,760,052"
Oklahoma,2002,"240,542","234,909","253,759","265,914","267,356","219,360","228,261","238,201","265,966","252,798","223,414","189,534","151,281","129,956","112,699","94,207","65,488","55,435","1,720,000","1,769,080"
Oklahoma,2003,"242,206","234,251","253,716","262,211","273,593","218,606","228,494","228,992","264,608","256,975","227,321","196,449","157,490","131,528","112,617","94,251","66,226","55,358","1,727,169","1,777,723"
Oklahoma,2004,"243,053","234,422","251,632","260,984","278,008","223,161","227,492","223,013","262,477","258,903","232,445","203,186","163,364","133,635","113,121","93,367","67,835","55,135","1,740,562","1,784,671"
Oklahoma,2005,"246,095","236,418","248,298","261,395","276,800","228,706","226,186","222,127","256,296","261,641","238,920","211,190","167,756","135,146","114,256","93,759","67,861","55,747","1,752,122","1,796,475"
Oklahoma,2006,"249,721","241,469","247,289","262,785","275,212","239,618","223,686","227,010","248,316","265,270","245,396","221,709","171,562","138,920","116,032","94,081","68,736","57,278","1,775,397","1,818,693"
Oklahoma,2007,"254,043","246,929","245,909","264,947","272,430","250,291","224,067","230,872","240,393","265,257","252,376","220,985","184,489","143,688","116,537","93,888","68,826","58,422","1,797,174","1,837,175"
Oklahoma,2008,"257,816","250,053","247,181","266,021","268,392","257,363","226,970","232,049","232,854","265,234","257,970","225,193","191,645","149,765","118,030","93,628","69,202","59,610","1,814,205","1,854,771"
Oklahoma,2009,"262,627","254,971","250,861","266,142","267,959","263,418","234,800","232,715","228,443","265,048","261,428","230,986","198,523","155,838","119,952","93,958","68,735","61,168","1,839,538","1,878,034"
Oklahoma,2010,"264,361","259,961","254,004","263,428","270,352","266,889","243,098","231,667","228,394","260,625","265,368","237,641","206,849","160,487","121,791","95,027","69,370","62,390","1,862,398","1,899,304"
Oregon,2000,"223,147","233,577","243,176","245,470","232,059","232,532","237,151","254,933","271,531","272,862","238,121","174,117","132,050","112,344","106,670","95,268","66,871","57,829","1,701,061","1,728,647"
Oregon,2001,"223,999","230,826","245,956","246,236","239,003","229,382","243,274","248,534","271,593","274,888","252,835","180,935","138,043","113,541","105,960","94,768","68,936","59,228","1,720,048","1,747,889"
Oregon,2002,"224,849","229,092","248,112","247,064","246,588","230,702","247,580","243,943","269,597","277,392","255,384","199,608","145,538","116,119","105,174","94,817","71,365","60,500","1,742,298","1,771,126"
Oregon,2003,"225,577","227,383","248,885","247,485","250,274","232,626","248,435","240,047","266,641","276,905","262,008","211,297","155,670","120,042","104,649","94,556","72,474","62,422","1,758,571","1,788,805"
Oregon,2004,"224,518","226,474","246,098","248,790","249,676","234,034","245,397","238,490","263,910","273,353","268,636","223,509","165,124","124,844","104,546","93,736","74,169","64,159","1,769,086","1,800,377"
Oregon,2005,"226,117","227,049","243,214","252,412","249,979","239,331","242,488","244,061","259,676","272,731","273,304","238,622","174,136","129,545","105,782","93,309","75,311","66,135","1,789,755","1,823,447"
Oregon,2006,"228,634","230,153","242,105","255,894","250,395","247,606","241,351","251,158","254,628","273,664","276,739","254,585","182,251","136,489","107,453","92,923","75,798","69,057","1,817,766","1,853,117"
Oregon,2007,"232,935","231,491","241,373","258,529","250,519","256,345","243,190","255,203","249,968","271,848","279,780","257,289","200,645","144,085","109,541","92,014","76,055","71,607","1,843,070","1,879,347"
Oregon,2008,"236,053","234,517","241,418","259,067","251,488","261,300","248,520","256,332","246,407","269,362","279,624","263,725","212,891","154,265","112,897","91,390","75,513","73,979","1,865,213","1,903,535"
Oregon,2009,"237,520","236,088","242,019","257,262","252,916","265,456","254,873","254,500","245,786","266,869","276,990","270,690","224,891","163,538","117,203","91,151","74,512","76,336","1,885,391","1,923,209"
Oregon,2010,"237,435","237,628","242,786","253,861","253,903","265,802","260,918","249,758","248,504","262,073","276,946","275,101","238,488","171,026","120,922","91,406","74,010","78,390","1,900,216","1,938,741"
Pennsylvania,2000,"725,969","822,683","866,145","852,407","751,274","726,167","825,434","946,077","997,325","912,495","803,362","623,299","513,368","478,683","487,367","422,459","291,477","238,182","5,932,174","6,351,999"
Pennsylvania,2001,"720,201","803,825","873,510","859,430","770,093","697,766","816,343","919,430","1,001,619","930,848","844,274","632,857","519,870","470,412","477,144","421,265","298,606","241,477","5,944,575","6,354,395"
Pennsylvania,2002,"717,700","784,880","876,455","868,354","787,897","690,461","803,493","895,062","992,734","951,250","841,488","685,591","533,937","465,573","465,410","419,509","305,550","245,687","5,967,199","6,363,832"
Pennsylvania,2003,"718,728","767,844","875,375","877,791","804,001","699,951","785,400","872,370","979,062","969,269","855,010","710,208","561,865","468,197","449,414","419,710","308,009","252,454","5,996,764","6,377,894"
Pennsylvania,2004,"722,326","754,754","867,742","890,614","810,936","716,593","760,151","850,070","967,730","981,476","875,890","742,403","579,898","473,218","435,144","412,662","312,628","256,487","6,019,973","6,390,749"
Pennsylvania,2005,"722,165","746,114","852,112","906,077","816,991","734,921","733,122","837,152","951,969","988,575","898,884","782,098","592,806","474,717","425,911","406,398","315,333","264,645","6,044,937","6,405,053"
Pennsylvania,2006,"721,475","746,070","838,105","917,397","828,158","752,467","708,505","834,948","929,004","994,997","919,683","824,281","602,770","481,727","419,774","399,346","317,038","275,064","6,081,497","6,429,312"
Pennsylvania,2007,"726,721","746,215","822,703","922,241","836,312","765,355","699,423","825,545","906,989","988,062","941,852","823,109","654,561","496,107","416,214","390,900","317,074","284,554","6,111,850","6,452,087"
Pennsylvania,2008,"729,631","749,392","807,692","922,093","844,073","775,864","705,068","807,688","885,181","975,594","962,233","838,606","679,758","523,050","418,486","377,806","318,603","291,467","6,138,990","6,473,295"
Pennsylvania,2009,"730,224","752,787","797,025","916,709","860,597","779,944","718,839","784,152","863,209","966,503","977,095","861,199","711,927","541,509","424,531","366,783","314,386","299,439","6,169,834","6,497,024"
Pennsylvania,2010,"728,165","753,342","790,173","900,259","876,209","783,152","734,174","758,443","850,154","951,315","986,029","883,246","749,851","556,099","428,376","361,825","311,525","307,293","6,194,958","6,514,672"
Rhode Island,2000,"63,916","71,629","71,691","75,568","72,428","64,439","75,503","84,985","85,142","75,898","67,123","50,321","39,195","35,874","37,567","34,091","23,893","21,005","504,494","545,774"
Rhode Island,2001,"63,460","70,064","73,424","76,109","75,229","62,697","74,335","83,761","86,119","78,184","70,182","52,264","39,870","35,173","36,545","33,882","24,555","21,289","508,168","548,974"
Rhode Island,2002,"63,372","68,726","74,373","77,667","77,308","62,673","73,546","81,824","86,773","80,347","69,872","57,369","41,318","35,005","35,019","33,589","25,318","21,896","512,905","553,090"
Rhode Island,2003,"63,289","67,516","74,532","78,591","77,550","64,712","71,354","80,193","86,453","82,350","71,128","59,634","43,992","35,159","33,712","33,038","25,593","22,546","515,752","555,590"
Rhode Island,2004,"63,118","65,871","73,730","80,581","78,101","66,436","68,807","78,176","85,796","83,550","72,481","62,256","45,973","35,459","32,543","32,472","25,955","23,274","518,204","556,375"
Rhode Island,2005,"61,665","64,089","71,505","81,389","78,879","66,415","65,268","76,167","84,244","83,561","74,271","64,813","47,377","35,548","31,599","31,417","26,110","23,599","515,084","552,832"
Rhode Island,2006,"60,286","62,766","69,179","82,755","79,150","67,202","61,673","73,913","81,882","84,040","75,956","67,162","49,016","36,203","30,693","30,656","26,008","24,556","512,962","550,134"
Rhode Island,2007,"59,745","61,614","67,375","82,277","79,734","66,971","59,928","72,067","78,857","83,684","77,519","66,245","53,481","37,387","30,490","29,180","25,730","25,031","510,456","546,859"
Rhode Island,2008,"59,081","60,974","65,974","82,103","80,076","66,627","60,561","68,863","76,560","82,860","79,247","67,195","55,180","39,768","30,647","28,076","25,528","25,683","509,591","545,412"
Rhode Island,2009,"57,731","60,799","64,521","81,936","81,277","65,435","61,216","65,958","74,265","82,018","80,658","68,918","57,794","41,637","30,881","26,994","25,261","26,347","508,882","544,764"
Rhode Island,2010,"57,361","60,474","63,792","79,710","82,381","65,928","61,541","63,284","73,059","80,963","81,204","70,902","60,369","42,937","31,110","26,489","24,519","26,863","508,643","544,243"
South Carolina,2000,"264,500","283,789","292,066","297,302","284,165","275,154","283,782","313,802","311,718","289,774","265,697","208,217","167,050","145,859","124,741","101,973","64,122","50,512","1,955,596","2,068,627"
South Carolina,2001,"268,388","277,807","298,166","296,211","293,673","266,421","284,915","309,101","315,350","295,222","278,124","215,003","172,679","148,978","124,623","102,426","66,497","51,411","1,975,032","2,089,963"
South Carolina,2002,"272,167","273,081","302,007","297,916","298,332","265,169","286,700","302,256","315,953","302,211","277,467","233,550","180,509","151,366","125,440","102,356","69,104","52,211","1,996,726","2,111,069"
South Carolina,2003,"274,275","270,513","304,439","300,721","300,212","266,535","285,760","296,858","316,197","307,785","281,250","245,203","191,765","154,656","126,518","103,270","71,034","53,306","2,016,330","2,133,967"
South Carolina,2004,"277,529","270,258","302,629","307,970","305,918","272,755","283,538","291,570","320,333","312,017","287,452","257,518","201,901","159,246","128,394","103,081","73,654","55,158","2,048,616","2,162,305"
South Carolina,2005,"279,623","273,450","298,023","315,965","306,537","280,169","278,267","291,357","319,740","316,618","294,244","271,500","211,500","164,578","132,561","103,812","74,893","57,313","2,077,805","2,192,345"
South Carolina,2006,"283,666","279,705","295,459","323,385","308,596","291,713","273,229","296,162","318,451","322,637","302,012","286,075","221,587","174,260","138,107","105,668","76,579","60,556","2,120,192","2,237,655"
South Carolina,2007,"291,718","285,880","293,680","329,135","314,912","296,489","274,024","301,338","315,060","326,083","311,258","288,801","242,138","184,227","141,409","107,322","76,945","63,691","2,163,318","2,280,792"
South Carolina,2008,"299,731","290,385","293,622","333,269","319,659","302,815","277,774","304,406","311,670","329,178","318,795","293,738","256,976","197,044","145,779","109,312","78,248","66,595","2,203,949","2,325,047"
South Carolina,2009,"302,351","294,559","295,405","333,129","326,539","304,740","282,140","301,847","306,381","333,638","323,319","299,390","269,502","208,367","150,357","110,805","78,469","68,934","2,232,842","2,357,030"
South Carolina,2010,"302,621","296,145","297,313","327,552","334,045","305,512","290,086","295,109","304,625","331,926","327,832","305,282","283,742","216,911","154,248","113,193","78,929","71,241","2,255,787","2,380,525"
South Dakota,2000,"51,041","54,225","59,650","62,688","53,086","44,720","45,942","56,335","58,895","54,167","44,223","33,817","28,859","26,993","25,942","22,548","16,520","16,193","375,163","380,681"
South Dakota,2001,"50,900","53,603","58,678","63,411","53,919","43,620","45,913","54,056","58,865","55,681","47,215","34,877","29,109","26,748","25,792","22,456","16,866","16,263","376,435","381,537"
South Dakota,2002,"50,862","52,654","58,102","62,457","55,832","43,722","45,762","51,395","58,673","56,584","48,703","37,435","29,828","26,469","25,520","22,448","17,098","16,476","377,692","382,328"
South Dakota,2003,"51,509","51,935","57,401","61,819","57,788","44,229","45,258","48,760","58,361","57,420","50,514","39,277","31,227","26,552","25,127","22,478","17,237","16,837","380,096","383,633"
South Dakota,2004,"52,485","51,800","56,536","61,308","59,448","45,508","44,962","47,051","57,729","57,842","52,525","41,702","32,746","26,952","24,750","22,330","17,597","17,125","383,719","386,677"
South Dakota,2005,"53,387","52,076","55,274","60,530","59,874","46,870","44,934","46,123","56,126","58,452","54,224","44,605","33,814","27,276","24,488","22,359","17,629","17,452","386,472","389,021"
South Dakota,2006,"54,768","52,108","55,042","59,679","60,163","48,360","44,553","46,224","54,147","58,850","55,979","47,605","34,962","27,917","24,503","22,507","17,810","17,856","390,613","392,420"
South Dakota,2007,"56,508","52,823","54,311","59,384","58,265","51,241","45,683","46,267","51,703","59,052","57,247","49,557","37,533","28,801","24,638","22,431","17,945","18,234","394,973","396,650"
South Dakota,2008,"57,745","53,643","53,906","58,793","57,993","52,928","46,577","46,126","49,405","58,902","58,380","51,239","39,612","30,156","24,886","22,147","18,175","18,511","398,888","400,236"
South Dakota,2009,"58,715","54,617","53,671","58,222","57,770","54,865","48,333","45,809","47,958","58,448","58,704","53,037","41,575","31,300","25,346","21,769","17,997","18,931","403,869","403,198"
South Dakota,2010,"59,720","55,716","54,085","57,503","57,911","55,960","50,328","45,437","47,312","57,306","59,554","54,577","43,984","32,171","25,826","21,696","18,021","19,356","408,600","407,863"
Tennessee,2000,"374,667","394,011","397,123","396,794","389,664","400,884","411,888","451,901","450,631","415,522","378,483","296,125","240,646","204,592","178,461","145,416","94,954","81,957","2,777,586","2,926,133"
Tennessee,2001,"378,216","389,791","404,214","393,483","405,142","386,285","414,420","445,176","453,947","423,770","395,479","302,852","245,673","208,855","178,051","145,915","97,172","82,348","2,802,368","2,948,421"
Tennessee,2002,"381,193","385,722","410,675","393,266","411,743","379,507","416,294","435,862","453,376","433,072","394,085","327,249","256,337","210,773","178,936","145,742","100,066","82,020","2,824,045","2,971,873"
Tennessee,2003,"385,343","384,932","415,531","396,474","412,414","379,810","414,864","426,478","454,212","441,416","398,100","341,913","269,420","216,352","178,913","147,023","102,298","82,319","2,846,829","3,000,983"
Tennessee,2004,"388,506","386,113","415,299","404,445","414,552","389,250","410,768","418,748","457,198","445,773","405,284","357,911","280,277","222,368","179,985","146,276","104,588","83,468","2,882,878","3,027,931"
Tennessee,2005,"392,265","390,176","414,943","414,673","414,921","399,872","403,848","418,986","457,085","451,758","415,143","375,596","289,935","229,285","182,678","147,467","106,671","85,755","2,922,618","3,068,439"
Tennessee,2006,"395,602","398,826","415,802","424,339","408,506","414,933","394,269","427,043","454,716","458,967","426,578","395,461","299,364","237,951","188,981","149,766","108,412","89,250","2,967,311","3,121,455"
Tennessee,2007,"401,096","404,615","414,667","432,306","414,325","423,556","391,488","433,818","448,230","461,409","437,733","395,723","324,019","248,826","191,581","150,965","109,192","92,178","3,013,447","3,162,280"
Tennessee,2008,"406,969","410,143","415,822","437,444","413,168","422,783","393,482","434,884","440,567","465,046","449,052","400,756","340,299","262,563","197,317","152,105","110,739","94,272","3,044,296","3,203,115"
Tennessee,2009,"407,229","411,618","417,701","438,223","421,468","421,192","400,669","430,865","432,005","468,307","454,222","408,172","357,004","273,338","202,744","153,016","110,844","97,402","3,074,250","3,231,769"
Tennessee,2010,"407,733","412,389","418,824","435,071","427,899","419,113","409,511","420,973","430,400","465,487","460,645","417,602","374,586","282,245","207,537","154,327","111,985","100,570","3,099,292","3,257,605"
Texas,2000,"1,628,590","1,650,665","1,644,416","1,644,928","1,551,447","1,587,889","1,574,951","1,689,146","1,643,072","1,427,642","1,210,389","904,193","706,128","611,283","533,653","426,356","270,589","239,162","10,399,343","10,545,156"
Texas,2001,"1,669,530","1,645,825","1,671,910","1,663,627","1,612,414","1,575,256","1,611,160","1,666,534","1,676,872","1,474,710","1,279,357","937,485","728,277","619,156","536,873","431,577","280,646","238,413","10,588,432","10,731,190"
Texas,2002,"1,711,032","1,639,044","1,701,750","1,679,252","1,669,665","1,576,140","1,643,508","1,639,570","1,693,467","1,529,514","1,294,259","1,020,576","759,080","627,669","539,747","435,031","292,483","238,538","10,775,672","10,914,653"
Texas,2003,"1,753,005","1,636,310","1,726,691","1,693,677","1,710,247","1,577,842","1,657,013","1,613,767","1,707,795","1,572,899","1,334,425","1,077,512","799,788","642,963","543,315","439,310","301,753","242,619","10,934,978","11,095,953"
Texas,2004,"1,795,044","1,637,863","1,745,932","1,714,959","1,735,056","1,602,338","1,660,785","1,604,475","1,721,497","1,609,730","1,380,116","1,135,400","841,643","660,214","547,091","442,498","313,306","246,076","11,115,621","11,278,402"
Texas,2005,"1,827,344","1,657,778","1,751,626","1,741,642","1,746,909","1,642,397","1,655,297","1,622,448","1,714,172","1,647,970","1,429,800","1,200,705","882,221","675,087","555,297","450,690","320,860","255,880","11,307,684","11,470,439"
Texas,2006,"1,863,053","1,718,006","1,782,260","1,783,634","1,763,694","1,704,518","1,657,359","1,672,898","1,707,389","1,693,586","1,486,845","1,276,178","920,509","704,964","568,948","459,482","329,789","266,468","11,588,337","11,771,243"
Texas,2007,"1,892,086","1,769,005","1,799,309","1,816,469","1,766,141","1,758,363","1,667,606","1,718,605","1,691,301","1,716,965","1,547,906","1,295,273","1,004,857","736,496","577,962","462,602","334,631","276,406","11,821,411","12,010,572"
Texas,2008,"1,917,615","1,823,831","1,821,807","1,846,558","1,777,634","1,810,114","1,685,788","1,748,350","1,677,080","1,739,074","1,597,310","1,336,272","1,063,618","779,327","593,305","466,994","338,651","285,711","12,059,103","12,249,936"
Texas,2009,"1,929,162","1,888,686","1,851,192","1,874,569","1,797,858","1,841,744","1,724,325","1,763,360","1,678,530","1,760,915","1,640,523","1,384,460","1,123,692","822,427","609,823","471,366","342,362","296,767","12,301,611","12,500,150"
Texas,2010,"1,933,297","1,938,165","1,889,612","1,882,428","1,828,519","1,859,248","1,773,180","1,761,840","1,700,470","1,761,778","1,685,155","1,434,339","1,189,350","860,441","623,702","478,506","348,824","308,260","12,530,309","12,726,805"
Utah,2000,"210,022","192,897","193,767","217,947","226,801","178,064","149,379","150,623","149,721","132,852","107,392","80,836","62,975","53,823","47,968","39,978","27,493","21,964","1,124,675","1,119,827"
Utah,2001,"214,928","193,565","195,119","215,676","236,044","178,040","155,912","147,404","151,743","137,241","114,825","83,608","65,243","54,742","48,443","40,430","28,368","22,384","1,144,533","1,139,182"
Utah,2002,"220,066","195,285","196,203","212,305","243,382","182,113","161,586","145,238","152,292","141,676","117,629","90,877","68,223","55,936","48,974","40,865","29,213","22,952","1,165,962","1,158,853"
Utah,2003,"225,164","198,055","197,126","209,079","244,436","188,091","166,428","143,338","152,398","144,503","121,891","95,540","72,525","57,837","49,501","40,974","29,686","23,565","1,184,270","1,175,867"
Utah,2004,"230,418","203,697","197,157","207,942","241,484","195,505","172,279","143,961","152,061","146,465","127,177","100,488","77,090","60,017","49,815","41,442","30,454","24,128","1,204,831","1,196,749"
Utah,2005,"235,437","210,046","199,638","209,386","240,106","200,599","179,341","149,148","150,536","149,178","132,657","107,878","80,997","62,511","51,241","42,404","31,446","25,170","1,232,978","1,224,741"
Utah,2006,"242,865","218,609","203,418","211,602","235,871","213,816","181,942","156,379","149,087","152,595","137,785","116,151","84,521","65,503","52,813","43,706","32,209","26,635","1,267,516","1,257,991"
Utah,2007,"251,261","228,079","209,206","215,162","231,805","223,511","190,780","163,342","148,938","154,099","143,447","119,293","91,933","68,312","53,948","44,177","32,682","27,771","1,305,074","1,292,672"
Utah,2008,"257,272","237,313","215,007","218,353","228,889","228,012","201,357","168,656","148,825","155,797","147,291","124,004","97,062","72,562","55,750","44,826","33,131","28,922","1,337,398","1,325,631"
Utah,2009,"261,099","245,633","222,915","220,043","227,537","228,802","211,844","174,498","150,524","156,041","149,888","129,339","101,864","76,719","57,528","45,049","33,948","30,150","1,367,912","1,355,509"
Utah,2010,"264,384","250,627","228,818","220,808","227,932","230,980","218,398","178,011","154,711","154,890","153,103","134,416","108,375","80,169","59,181","45,863","34,499","31,304","1,394,820","1,381,649"
Vermont,2000,"33,946","40,909","45,549","45,909","38,034","33,842","40,367","49,134","52,573","50,361","44,121","32,775","24,404","21,090","19,559","15,981","11,004","10,060","298,769","310,849"
Vermont,2001,"33,529","39,561","45,634","47,533","38,628","32,167","39,963","47,420","52,855","50,895","46,678","33,948","25,307","21,048","19,492","16,078","11,294","10,193","300,444","311,779"
Vermont,2002,"33,139","38,334","45,396","48,489","39,673","31,566","39,599","45,850","52,394","51,691","46,952","37,165","26,477","21,214","19,420","16,191","11,574","10,318","302,483","312,959"
Vermont,2003,"33,081","37,256","44,837","48,681","41,446","31,193","38,690","43,964","51,767","52,237","47,855","38,942","28,496","21,783","18,985","16,306","11,737","10,602","303,652","314,206"
Vermont,2004,"33,044","36,348","43,881","48,941","42,773","30,992","37,544","42,296","51,100","52,546","48,752","41,230","30,214","22,349","18,792","16,263","12,106","10,749","304,840","315,080"
Vermont,2005,"32,956","35,345","42,709","49,008","43,825","31,145","36,244","41,508","49,958","52,515","49,899","43,254","31,663","22,870","18,752","16,248","12,369","10,947","305,793","315,422"
Vermont,2006,"32,473","35,114","41,341","48,968","44,401","31,965","34,737","41,113","48,182","52,737","50,540","45,735","32,699","23,734","18,870","16,300","12,573","11,410","306,602","316,290"
Vermont,2007,"32,575","34,804","40,082","48,510","44,083","33,088","33,694","40,209","46,318","52,286","51,385","46,134","35,627","24,918","18,966","16,247","12,814","11,741","306,943","316,538"
Vermont,2008,"32,344","34,933","38,963","47,893","43,583","34,128","33,614","39,007","44,510","51,574","51,933","47,032","37,395","26,738","19,504","16,006","12,831","12,163","307,429","316,722"
Vermont,2009,"32,012","34,756","38,226","46,797","43,790","35,121","33,751","37,652","42,626","50,974","52,373","47,765","39,659","28,266","19,874","15,915","12,698","12,562","307,689","317,128"
Vermont,2010,"31,913","34,673","37,674","45,884","44,029","35,629","34,360","35,965","41,862","49,782","52,497","48,924","41,530","29,521","20,210","15,892","12,754","12,861","308,367","317,593"
Virginia,2000,"462,256","493,168","499,023","485,807","486,670","494,915","540,473","609,721","592,573","530,479","479,167","361,435","274,934","229,792","203,306","166,994","107,368","87,736","3,486,075","3,619,742"
Virginia,2001,"468,775","485,594","508,220","498,375","500,413","481,676","543,999","600,573","601,193","544,287","501,088","373,525","284,505","232,851","204,205","168,096","111,972","89,015","3,532,976","3,665,386"
Virginia,2002,"475,503","480,667","516,406","508,385","509,537","475,582","543,024","588,476","605,887","560,917","498,918","408,177","297,740","236,855","204,357","168,473","116,763","91,206","3,573,178","3,713,695"
Virginia,2003,"482,685","475,710","521,025","514,848","523,301","476,105","537,978","573,912","608,621","573,255","504,652","426,548","317,432","242,593","204,731","169,991","119,671","93,919","3,609,197","3,757,780"
Virginia,2004,"493,461","475,629","523,857","525,374","537,407","485,215","531,092","562,757","612,961","586,066","515,928","449,289","333,028","250,156","204,256","169,681","123,023","96,395","3,661,265","3,814,310"
Virginia,2005,"500,836","475,813","521,178","535,633","550,708","497,949","521,121","558,750","612,205","596,196","529,160","469,479","346,047","258,439","206,029","171,644","125,851","100,067","3,713,459","3,863,646"
Virginia,2006,"502,792","482,333","516,048","545,414","561,301","514,211","509,756","561,861","604,814","606,039","542,719","489,786","356,344","266,718","208,653","172,542","127,371","105,023","3,765,250","3,908,475"
Virginia,2007,"506,339","488,608","511,703","550,422","564,400","528,599","503,981","560,263","594,062","610,311","557,935","486,063","387,923","278,120","212,092","172,382","128,016","109,781","3,803,034","3,947,966"
Virginia,2008,"509,214","495,406","508,988","553,537","563,806","544,850","506,336","556,194","582,073","614,208","571,798","491,619","405,093","296,792","217,536","172,534","129,704","113,808","3,844,513","3,988,983"
Virginia,2009,"508,436","505,029","509,940","553,437","568,171","557,803","514,551","547,361","571,923","619,592","584,533","502,120","426,120","310,821","224,637","172,582","129,844","119,037","3,888,042","4,037,895"
Virginia,2010,"510,225","512,881","511,917","549,222","574,702","566,513","530,354","537,835","569,552","620,061","595,268","516,264","447,510","322,817","231,119","173,991","131,003","123,383","3,938,213","4,086,404"
Washington,2000,"394,768","424,463","437,007","429,985","393,423","401,043","437,910","482,547","492,746","457,157","395,872","287,563","212,256","176,025","160,968","143,112","99,006","84,661","2,942,778","2,967,734"
Washington,2001,"396,952","416,583","440,971","433,505","415,972","392,746","444,520","471,662","496,678","467,161","417,686","300,374","220,956","177,755","160,478","142,072","102,897","86,754","2,983,642","3,002,080"
Washington,2002,"397,437","409,819","445,550","435,089","432,227","391,446","446,167","459,556","495,484","478,091","419,416","331,671","232,946","181,610","159,849","140,946","106,315","88,730","3,015,607","3,036,742"
Washington,2003,"397,561","404,640","447,204","437,452","441,204","395,335","438,279","448,210","492,915","484,183","430,715","349,614","249,693","188,065","159,387","140,295","107,914","91,449","3,038,376","3,065,739"
Washington,2004,"401,883","404,440","446,477","442,830","442,838","405,034","430,427","444,113","492,289","488,555","443,785","370,437","266,530","195,526","159,585","139,356","110,361","94,179","3,070,830","3,107,815"
Washington,2005,"403,623","404,933","441,148","448,667","447,578","419,332","419,389","449,394","486,078","492,319","456,026","393,363","281,884","203,675","161,459","139,285","111,484","97,668","3,111,909","3,145,396"
Washington,2006,"409,925","410,681","437,809","455,515","451,994","440,940","414,996","459,201","476,861","497,631","467,980","416,958","296,311","214,379","164,448","140,189","112,153","102,782","3,170,058","3,200,695"
Washington,2007,"419,419","414,417","434,301","461,453","449,083","454,918","417,319","464,048","467,046","498,451","480,601","420,391","327,207","225,840","168,285","139,974","111,930","106,904","3,213,787","3,247,800"
Washington,2008,"428,827","418,373","433,427","465,642","456,442","471,107","427,914","461,482","458,905","497,559","487,865","431,835","345,360","242,320","174,158","139,859","111,080","110,076","3,269,069","3,293,162"
Washington,2009,"436,805","425,518","435,879","465,685","462,593","480,557","442,741","455,926","456,518","497,573","491,796","444,028","365,191","259,138","181,228","140,632","110,948","114,670","3,323,506","3,343,920"
Washington,2010,"439,914","431,051","439,146","460,842","463,429","482,105","456,862","446,653","460,460","491,861","497,097","456,194","386,232","272,556","188,104","142,425","111,376","118,189","3,360,190","3,384,306"
West Virginia,2000,"101,339","110,195","116,184","125,735","120,617","112,230","115,098","128,850","142,357","141,705","130,175","99,344","86,132","75,639","72,491","58,859","38,116","31,955","878,752","928,269"
West Virginia,2001,"100,696","107,583","115,635","122,425","123,377","107,224","115,248","124,864","140,524","141,578","137,291","100,969","87,164","76,053","71,478","59,083","38,582","31,707","877,838","923,643"
West Virginia,2002,"101,514","105,228","115,806","120,830","124,791","105,997","115,922","122,053","137,452","142,391","137,028","109,377","89,497","76,748","70,310","59,245","39,663","31,562","881,573","923,841"
West Virginia,2003,"102,412","104,120","115,800","119,365","125,685","105,879","116,498","119,668","134,693","142,998","138,536","114,504","92,912","78,710","68,747","59,923","40,242","31,603","886,460","925,835"
